acq,m,seed,N,win_rate
OFFLINE,128,41697,512,0.537109375
OFFLINE,128,42,512,0.591796875
OFFLINE,128,29716,512,0.529296875
OFFLINE,256,41697,512,0.58203125
OFFLINE,256,42,512,0.568359375
OFFLINE,256,29716,512,0.57421875
OFFLINE,512,41697,512,0.55859375
OFFLINE,512,42,512,0.552734375
OFFLINE,512,29716,512,0.572265625
OFFLINE,768,41697,512,0.6171875
OFFLINE,768,42,512,0.609375
OFFLINE,768,29716,512,0.615234375
CERTAINTY,128,41697,512,0.552734375
CERTAINTY,128,42,512,0.51953125
CERTAINTY,128,29716,512,0.490234375
CERTAINTY,256,41697,512,0.58984375
CERTAINTY,256,42,512,0.623046875
CERTAINTY,256,29716,512,0.560546875
CERTAINTY,512,41697,512,0.634765625
CERTAINTY,512,42,512,0.654296875
CERTAINTY,512,29716,512,0.62109375
CERTAINTY,768,41697,512,0.64453125
CERTAINTY,768,42,512,0.6640625
CERTAINTY,768,29716,512,0.6328125
ENTROPY,128,41697,512,0.51171875
ENTROPY,128,42,512,0.5625
ENTROPY,128,29716,512,0.5390625
ENTROPY,256,41697,512,0.595703125
ENTROPY,256,42,512,0.61328125
ENTROPY,256,29716,512,0.56640625
ENTROPY,512,41697,512,0.62109375
ENTROPY,512,42,512,0.599609375
ENTROPY,512,29716,512,0.59375
ENTROPY,768,41697,512,0.634765625
ENTROPY,768,42,512,0.611328125
ENTROPY,768,29716,512,0.634765625
RANDOM,128,41697,512,0.521484375
RANDOM,128,42,512,0.564453125
RANDOM,128,29716,512,0.5625
RANDOM,256,41697,512,0.578125
RANDOM,256,42,512,0.509765625
RANDOM,256,29716,512,0.56640625
RANDOM,512,41697,512,0.619140625
RANDOM,512,42,512,0.59765625
RANDOM,512,29716,512,0.60546875
RANDOM,768,41697,512,0.6015625
RANDOM,768,42,512,0.607421875
RANDOM,768,29716,512,0.611328125
